window_idx,start_index,coef_cosine_similarity,coef_pearson_similarity,transfer_mse,transfer_mae,random_mse,random_mae,persistence_mse,persistence_mae,transfer_skill,random_skill,retrieved_state_similarity,retrieved_mse,retrieved_mae,retrieved_skill
500,6000,0.7155675967525948,0.692431559293607,0.04075019938805662,0.1666264627675406,0.04982773576670654,0.17997511725146678,0.05335205295546616,0.15876279491851794,0.2362018492133473,0.06605776148298226,0.7242861186719728,2.538116667665985,1.5437569574124177,-46.57298973639483
501,6012,0.9369773669758029,0.9313265299357912,0.05357485962036024,0.20136062572653501,0.04056890448535516,0.16939174989521324,0.05111909273905887,0.17600114969859068,-0.04804011084150117,0.2063844972280301,0.6654654140615227,2.6718066248430326,1.5774386493673493,-51.26631541528845
502,6024,0.9299397919511927,0.9227833237569663,0.04767241138246366,0.17954764771731244,0.6323566938228558,0.7464775919779516,0.1011345116907949,0.2568179491457965,0.5286237053458505,-5.252630118551428,0.7985248300698209,1.3153576037566463,1.0634493614224232,-12.006021206471777
503,6036,0.878082860050057,0.863614405649119,0.044602393390522466,0.16924690805055362,1.7751801608307216,1.2438553533388486,0.03960109099665521,0.15978557650496203,-0.12629203559795044,-43.82654684894053,0.7244760972118743,0.8347087080362533,0.8016027452507215,-20.077922022571414
504,6048,0.9521528009907366,0.9485429698664987,0.048523260655792065,0.17319027010311153,1.756463579695688,1.3015797634822042,0.08568845324404273,0.2320444785277034,0.43372462894625163,-19.498252835691158,0.6247881558728212,0.10649254548101161,0.2816523704813018,-0.24278758046569404
505,6060,0.8993814638525286,0.8953509447485772,0.07629118306080003,0.2185535202330342,8.530811522368186,2.8830409219051814,0.12197353480984542,0.29502471456127843,0.3745267513995013,-68.93985650795125,0.6172182962356573,0.04727046219311237,0.1755859823070309,0.6124531254521222
506,6072,0.7677143712737626,0.7550589386401264,0.11319904494471218,0.2745623127673664,1.6927338198951336,1.2690488345382478,0.08612835595706485,0.23123742014158918,-0.3143063476231003,-18.653618150321652,0.6017585985034123,0.051419638106680286,0.17754474904204498,0.40298827795676173
507,6084,0.7182360456750019,0.6993299108232593,0.09295773252778422,0.23102482669753557,0.15504559496877154,0.2936916750509731,0.09978222980771212,0.270486263244605,0.06839391435808984,-0.5538397494980429,0.6470222643350939,0.055941226961968994,0.19449449806927918,0.4393668384664088
508,6096,0.6972247398732948,0.6728524665017225,0.05479509429788911,0.16756905781536524,0.756930395708657,0.8195712441076165,0.06562205143463164,0.22024918503665844,0.16498961705772985,-10.534695718293127,0.8056273554554826,1.008742244365335,0.7722109737775265,-14.372001062328533
509,6108,0.8355814511070733,0.8205103519894037,0.06331132940631674,0.18843225269937916,8.458843000812408,2.870343339093237,0.05491509956749275,0.1943746455691695,-0.1528947394241671,-153.03492058529673,0.8099506219449872,0.0734927680562235,0.22856615460670415,-0.3382980024628397
510,6120,0.8163154941909274,0.801807086683094,0.05943456256015948,0.19331419901465083,0.40463046947886094,0.5698853083126934,0.0767915948102837,0.2163125008430795,0.22602776115023238,-4.269202579768196,0.7355355998822264,0.8392153188316964,0.8506463307840683,-9.928478838146374
511,6132,0.8591489701947576,0.8500603299797793,0.06680628723178791,0.21022632002964867,0.18594483509624304,0.3695324993851535,0.06541906521008278,0.2081065119282112,-0.02120516423232721,-1.8423645996638927,0.7618477192406091,0.06098230263734918,0.20812275041354425,0.06782063544450923
